,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,lang,location,statuses_count,verified,average_tweets_per_day,account_age_days,account_type,screen_name_len,description_len
15825,0,0,2140,45,131,0,1,1,3325,0,1.022,3252,0,12,56
23283,1,0,2204,11,1,0,1,0,3041,0,1.08,2816,0,10,17
14494,1,0,1666,18,38,0,1,0,3151,0,1.801,1750,0,8,118
4638,0,0,4,1858,2065,0,1,1,5303,0,1.535,3455,0,12,157
35697,0,0,656,903,909,0,1,1,1104,0,0.436,2530,0,12,144
23963,0,0,25493,299,300,0,1,1,6014,0,2.633,2284,1,14,113
16495,1,0,582,29,0,0,1,0,96,0,0.031,3091,0,6,56
10981,0,0,77261,9412,3688,1,1,1,26062,1,6.144,4242,1,8,108
26986,1,0,2491,45,242,0,1,1,3018,0,2.192,1377,0,15,33
15093,1,0,6636,1418,619,0,1,0,2803,0,1.855,1511,1,7,153
20781,1,0,220,5,0,0,1,0,39,0,0.015,2573,0,8,54
2800,0,0,123,154,0,0,1,0,787,0,0.231,3406,0,11,32
27925,0,0,1094,76202,48054,1,1,1,431992,1,153.189,2820,1,9,157
33672,0,0,33648,1153,4007,1,1,0,68873,0,28.088,2452,1,14,59
10487,1,0,6551,1115193,58,1,1,1,12277,1,3.262,3764,1,7,150
31681,0,0,1,65,2,0,1,1,13188,0,13.281,993,0,15,68
28206,1,0,282,8,0,0,1,0,48,0,0.014,3431,0,10,55
16813,0,0,2380,30,0,1,1,0,3331,0,1.117,2983,0,13,144
6595,0,0,15866,55972,38363,0,1,1,161939,0,46.615,3474,0,15,130
9697,0,0,39,4450934,605,1,1,1,8562,1,2.051,4175,1,11,160
5490,0,0,61,2262100,16,0,1,0,753,1,0.202,3735,1,10,29
3229,0,0,681,18290319,1422,0,1,1,23987,1,5.807,4131,1,7,51
28446,1,0,1225,80,17,0,1,1,2979,0,1.038,2870,1,10,143
18029,1,0,2191,0,128,0,1,1,2198,0,0.765,2875,0,15,75
12624,0,0,33647,120,165,0,1,1,28431,0,34.09,834,1,13,48
15903,0,0,11482,1306258,758,1,1,0,31832,0,7.893,4033,1,13,146
36776,0,0,70,180,2,0,1,1,6404,0,3.439,1862,0,13,154
31475,1,0,3485,35,39,0,1,0,3758,0,2.146,1751,0,14,145
23153,1,0,3544,26,66,0,1,1,4052,0,2.314,1751,0,15,98
36081,1,0,91,1,0,0,1,0,12,0,0.005,2204,0,9,54
9116,0,0,39726,20851,3881,1,1,1,45738,1,10.908,4193,1,9,115
17149,0,0,43942,303,1093,1,1,1,22056,0,7.6,2902,1,10,110
26990,0,0,3381,53,0,0,1,1,4324,0,1.43,3023,0,12,18
25245,0,0,18433,301839,7961,0,1,1,29204,1,6.899,4233,1,10,140
28811,1,0,44129,68501,7356,1,1,1,88062,1,22.861,3852,1,9,49
20322,1,0,203,2,0,0,1,1,19,0,0.006,3179,0,9,53
14735,0,0,17853,142217,5450,1,1,1,10825,1,2.649,4087,1,14,58
8739,1,0,174,5,0,0,1,0,32,0,0.023,1386,0,11,40
9849,0,0,96071,34326,26560,0,1,1,162560,0,123.245,1319,1,10,157
12903,0,0,1950,4476,3410,1,1,1,2295,0,1.048,2190,0,14,119
2605,1,0,12,2,0,0,1,1,121,0,0.098,1232,0,15,96
17132,0,0,2199,118,0,0,1,1,3211,0,1.184,2713,0,10,111
14304,0,0,664,1980379,97,1,1,1,14182,1,3.772,3760,1,11,85
14656,0,0,1220,114,45,1,1,1,3229,0,2.144,1506,1,14,127
3812,0,0,27159,98421,8518,1,1,1,63810,0,14.227,4485,0,14,133
14837,1,0,349,120,0,1,1,1,1085,0,0.339,3200,0,13,56
4297,0,0,133,515,391,0,1,0,2084,0,0.509,4093,1,11,165
14665,0,0,178,10,0,0,1,1,38,0,0.011,3564,0,15,74
25809,0,0,3806,885982,940,0,1,1,16085,1,3.855,4173,1,6,116
9389,0,0,3,1952671,228,0,1,1,15096,0,3.769,4005,1,11,45
12425,1,0,282,382,716,0,1,1,252,0,0.069,3644,1,9,85
8603,1,0,3534,1976699,272,0,1,1,1236,1,0.847,1459,1,8,102
29651,0,0,66651,2417,3104,1,1,1,349908,0,83.431,4194,1,14,153
23099,1,0,2512,252,651,0,1,0,3470,0,1.305,2659,1,15,90
32752,1,0,270,68,22,0,1,1,186,0,0.188,991,0,11,154
29336,0,0,2096,2747966,914,0,1,1,7800,1,1.973,3953,1,11,85
5110,0,0,2,76,3,0,1,1,5043,0,4.022,1254,0,13,158
6960,1,0,223,7,0,0,1,0,33,0,0.009,3505,0,9,57
3193,0,0,1360,101,189,1,1,1,2630,0,0.842,3124,1,10,71
27699,1,0,12927,79447,7054,1,1,1,46380,1,14.631,3170,1,13,142
2210,1,0,10879,1308,1415,1,1,1,52359,0,28.8,1818,0,9,130
19660,0,0,17901,2452,3222,1,1,0,24697,0,6.979,3539,1,7,151
7747,1,0,637,34,0,1,1,0,136,0,0.047,2883,0,11,59
34323,0,0,72157,2090,1147,1,1,1,80660,0,18.158,4442,1,8,158
32415,0,0,3601,172,1146,1,1,1,7825,0,1.975,3962,0,15,17
27112,1,0,3467,20,43,0,1,1,3645,0,2.082,1751,0,13,118
11293,0,0,129999,8364,4054,0,1,1,121877,0,51.73,2356,1,12,72
36110,1,0,51,222936,9,0,1,0,44000,0,45.408,969,0,12,136
8901,1,0,2429,80,84,0,1,1,3502,0,1.105,3169,0,14,27
16959,0,0,3765,34,0,1,1,1,4054,0,1.626,2494,0,10,39
11826,0,0,0,209,1,1,1,1,67887,0,47.209,1438,0,12,85
12375,1,0,1443,10,0,0,1,1,2235,0,0.645,3464,0,13,43
523,0,0,1743,1303194,958,0,1,1,14256,1,3.415,4175,1,13,15
36381,1,0,61,13,0,0,1,0,13,0,0.005,2602,0,11,54
16328,0,0,2,111,0,0,1,0,4906,0,3.944,1244,0,14,82
22352,1,0,1155,6,45,0,1,1,1611,0,1.244,1295,0,12,67
2733,1,0,15540,3606,4971,1,1,0,21243,0,8.881,2392,0,9,139
18926,0,0,6322,404,833,0,1,0,1921,0,0.477,4030,1,15,123
6304,1,0,12,283,287,1,1,1,1971,0,0.741,2659,0,11,160
14447,0,0,25292,505882,1459063,1,1,1,136886,1,89.938,1522,0,14,157
26216,0,0,56,3050,14,0,1,1,17466,0,15.936,1096,0,14,160
27106,0,0,2395,24,0,0,1,0,3181,0,1.124,2831,0,12,31
11029,0,0,492,192,360,0,1,1,660,0,0.454,1455,1,7,158
11669,0,0,7661,8316,2483,1,1,1,15605,1,4.912,3177,1,14,104
10364,0,0,27,88,68,0,1,1,3790,0,1.145,3310,1,15,151
18754,1,0,106,7,0,0,1,0,150,0,0.066,2289,0,11,57
27949,1,0,1162,52,185,0,1,0,2026,0,0.627,3230,1,12,69
29314,0,0,410,20,0,0,1,1,83,0,0.021,3871,0,13,76
33,0,0,915,267,246,1,1,1,1337,0,0.723,1848,1,15,131
15991,1,0,461,21,0,0,1,0,102,0,0.032,3162,0,5,66
15615,0,0,1308,3994486,79,1,1,0,4726,1,1.715,2755,1,10,6
19650,0,0,33,1471000,563,0,1,1,8766,1,2.275,3854,1,15,133
4747,1,0,886,10,0,1,1,1,1326,0,0.357,3715,0,12,96
35038,1,0,1961,6,12,0,1,0,2964,0,1.19,2490,0,9,37
36949,1,0,470,13,8,0,1,1,656,0,0.184,3569,0,11,39
10009,0,0,275,11,0,0,1,1,51,0,0.012,4121,0,9,57
5063,0,0,1297,4966,1382,1,1,1,13940,1,3.32,4199,1,13,159
29477,1,0,2352,229,553,0,1,0,3193,0,1.133,2817,0,10,130
35465,0,0,14135,2957549,2461,1,1,1,19344,1,4.009,4825,1,11,147
9151,0,0,5633,134478,2593,0,1,1,111168,1,26.25,4235,1,11,91
12699,0,0,17502,17951,1327,0,1,1,62748,1,13.864,4526,1,8,132
27598,0,0,1009,137022,299,0,1,1,47303,0,13.628,3471,0,14,15
17366,1,0,181,0,0,0,1,0,271,0,0.238,1137,0,13,65
21511,0,0,7943,65698,3422,1,1,1,28637,1,6.045,4737,1,12,69
11033,1,0,160520,6044,6404,0,1,1,72258,0,43.294,1669,1,11,23
37217,0,0,2152,16,0,0,1,0,2901,0,0.965,3007,0,14,45
31944,1,0,713,10,11,0,1,1,750,0,0.233,3215,0,11,55
32425,0,0,26811,403,1044,1,1,1,7602,0,5.884,1292,1,13,67
20962,0,0,668,49,213,0,1,1,187,0,0.045,4186,1,8,75
29380,0,0,3561,14459,14551,1,1,1,20254,1,4.733,4279,1,12,138
15538,0,0,744,893864,180,0,1,1,12262,1,2.877,4262,1,7,166
10054,1,0,6316,461,199,1,1,1,6339,0,2.276,2785,1,13,153
21324,1,0,1331,12,36,0,1,0,1332,0,0.921,1446,0,15,45
14269,1,0,0,298,3,0,1,0,196103,0,141.898,1382,0,11,97
35009,1,0,2110,1105,470,1,1,1,30824,0,8.18,3768,1,9,122
5268,0,0,47968,1202959,38079,0,1,1,95748,1,22.956,4171,1,5,75
34056,0,0,1789,51,26,1,1,1,3036,0,1.028,2954,1,12,55
9578,0,0,2622,17,0,0,1,1,2765,0,1.476,1873,0,8,126
7206,1,0,1332,7,15,0,1,0,1332,0,0.911,1462,0,15,13
25059,1,0,4113,606,458,1,1,1,7599,0,3.225,2356,1,7,63
25513,0,0,32,1890,42,0,1,0,18690,0,14.763,1266,0,9,142
16016,1,0,28,0,41,0,1,1,434,0,0.342,1270,0,15,84
32589,0,0,13530,2546,3219,1,1,1,50193,0,10.25,4897,1,11,32
4248,0,0,998,179,350,1,1,1,453,0,0.134,3385,1,15,37
14859,1,0,18206,3181,1941,0,1,1,7314,0,3.92,1866,1,9,157
16884,1,0,976,55,538,1,1,0,265,0,0.094,2809,1,11,67
15623,0,0,12828,118220,16123,0,1,1,30208,1,6.746,4478,1,5,108
25638,1,0,9053,203,676,1,1,0,1321,0,0.506,2612,1,15,23
14873,0,0,2110,202,0,0,1,0,3096,0,1.063,2913,0,15,32
270,0,0,22,223,2,0,1,1,13820,0,11.986,1153,0,12,122
34534,0,0,2193,12548,640,1,1,1,2654,1,0.964,2752,1,11,47
13917,0,0,4108,491866,1232,1,1,1,25750,1,8.1,3179,1,9,153
34099,1,0,3524,13,42,0,1,1,3696,0,2.111,1751,0,12,97
22985,1,0,485,20,0,0,1,0,96,0,0.025,3843,0,8,38
17868,0,0,1973,229,469,1,1,1,2800,0,0.698,4009,1,15,147
18496,1,0,58511,204,418,1,1,1,16668,0,13.073,1275,1,13,28
21248,0,0,65741,4931,4134,1,1,1,269695,0,157.716,1710,0,11,148
24965,0,0,2002,1812582,673,1,1,1,18125,1,4.426,4095,1,14,138
12730,0,0,2259,930,1313,0,1,1,3339,0,0.731,4570,0,15,158
33080,1,0,10,9,290,0,1,0,5,0,0.002,2010,1,14,15
663,0,0,914,230,660,0,1,1,405,0,0.391,1036,0,11,102
28193,1,0,989,13,748,0,1,1,1390,0,0.406,3420,0,10,23
4663,0,0,3670,955574,1731,0,1,1,27676,1,8.198,3376,1,11,133
35933,0,0,2865,6521,4144,1,1,1,38444,0,9.554,4024,1,13,119
36222,1,0,115,2,0,0,1,0,34,0,0.016,2093,0,10,44
29808,0,0,3565,213651,439,0,1,1,20868,1,4.721,4420,1,12,111
25721,1,0,2543,33,215,0,1,0,14,0,0.004,3135,0,15,47
16434,1,0,24,28,13,0,1,1,12,0,0.016,770,0,15,82
9354,0,0,22213,24974,5101,1,1,1,2459,1,0.543,4529,1,6,131
26887,0,0,26,52564,8457,1,1,1,60594,0,16.574,3656,0,15,156
14649,0,0,25503,5629,1841,0,1,1,32635,1,7.744,4214,1,15,96
31313,1,0,1235,8,0,0,1,0,1237,0,0.846,1462,0,15,150
15826,1,0,635,5,0,0,1,0,635,0,0.434,1462,0,15,124
14232,0,0,9805,800,327,1,1,1,18258,0,4.537,4024,1,7,97
35389,0,0,40311,449,759,1,1,1,37138,0,12.07,3077,1,7,159
5982,0,0,4069,4425,2400,1,1,1,25564,0,9.776,2615,1,15,130
30130,1,0,13967,148814,274,1,1,1,33073,1,8.25,4009,1,11,127
32498,1,0,2341,20,199,1,1,1,3292,0,1.137,2896,0,8,62
6425,0,0,395,99783,4003,1,1,1,193,0,0.054,3566,1,12,156
7189,1,0,1937,18,0,0,1,0,2642,0,0.778,3398,0,9,74
11496,0,0,64,287,140,1,1,1,1505,0,0.392,3843,0,10,68
22984,0,0,6,26,4,0,1,1,41242,0,31.676,1302,0,10,149
32559,0,0,1437,241,261,1,1,1,25598,0,7.522,3403,0,14,98
20556,1,0,2963,82,0,1,1,0,4866,0,1.735,2804,0,13,134
21400,0,0,95916,7718,3460,0,1,1,52990,1,11.726,4519,1,8,158
32808,0,0,2055,7,18,0,1,0,2948,0,1.154,2555,0,10,87
16386,0,0,28652,5491,268,0,1,1,3404,0,0.899,3786,1,8,128
13837,0,0,3774,970,251,0,1,1,2356,0,1.081,2180,1,14,110
9625,0,0,32941,1443430,2516,1,1,1,15737,1,5.01,3141,1,15,36
8245,1,0,795,28,4,0,1,1,109386,0,77.195,1417,0,13,30
13722,1,0,611,40,0,0,1,0,184,0,0.07,2639,0,9,66
13428,0,0,23166,132,757,1,1,1,18947,0,6.114,3099,0,14,26
36027,1,0,107619,4536,852,1,1,1,51912,0,16.057,3233,1,13,141
15097,1,0,28,0,55,0,1,1,409,0,0.317,1290,0,15,101
30146,0,0,52,48,0,1,1,1,404,0,0.108,3756,0,15,105
25341,0,0,506,126034,283,1,1,0,3441,1,1.173,2933,1,14,120
925,0,0,68107,361242,20569,1,1,1,15240,1,4.622,3297,1,9,111
18168,0,0,1178,239,344,0,1,0,2498,0,0.74,3375,1,13,88
31107,0,0,148775,24369,6813,0,1,1,160902,0,123.771,1300,0,15,155
17890,1,0,36,20,14,0,1,1,204,0,0.158,1288,0,15,81
8879,0,0,1,247,43,0,1,0,16426,0,6.881,2387,0,7,95
32389,1,0,97,0,0,0,1,0,30,0,0.021,1437,0,10,59
13639,0,0,13580,271,669,1,1,1,7730,0,2.172,3559,1,14,125
30986,0,0,42,12,0,0,1,1,493,0,0.123,4013,1,7,74
34977,1,0,0,5,0,0,1,1,3889,0,3.96,982,0,10,92
33054,0,0,751,1455815,348,0,1,1,4186,1,1.109,3773,1,14,45
16547,1,0,0,1278,1,0,1,0,958,0,1.054,909,0,7,85
5191,1,0,19,4,0,0,1,1,74,0,0.048,1540,0,12,46
13627,1,0,0,912,85,0,1,1,1346492,0,676.969,1989,0,13,39
29464,1,0,3380,79,142,1,1,1,3929,0,2.587,1519,0,15,133
6890,1,0,1013,265717,163,0,1,1,5351,0,1.409,3797,1,9,15
12598,1,0,936,79,0,0,1,1,254,0,0.081,3128,0,10,61
7902,1,0,248,25,0,0,1,0,51,0,0.024,2162,0,13,57
16502,0,0,4314,9801,2586,0,1,1,11848,0,2.991,3961,1,8,165
29789,0,0,832,908,637,0,1,1,1968,0,0.605,3254,0,10,156
37385,0,0,4898,60,339,1,1,1,3077,0,1.01,3047,1,8,31
23461,1,0,115,0,0,0,1,0,216,0,0.149,1445,1,15,151
19649,0,0,528,17363190,498,1,1,0,354188,1,78.36,4520,0,4,77
7783,0,0,1470,20,0,0,1,1,2245,0,1.044,2150,0,12,55
33916,1,0,35,0,19,0,1,1,568,0,0.462,1229,0,15,113
10925,0,0,20254,883,1093,1,1,1,17099,0,10.142,1686,1,14,47
29141,1,0,2179,11,195,0,1,1,2917,0,1.448,2015,0,11,157
20530,0,0,9845,47654,695,1,1,1,15685,1,7.35,2134,1,12,150
36239,0,0,5322,685,1878,0,1,1,29408,0,6.282,4681,1,7,147
7305,1,0,0,6,0,0,1,0,42928,0,47.434,905,0,10,33
14553,1,0,346,0,19,0,1,1,346,0,0.245,1411,0,11,84
29681,1,0,36,2147072,582,0,1,1,3566,1,1.197,2979,1,14,59
29751,1,0,1257,24,452,1,1,1,1770,0,1.257,1408,0,13,62
26371,0,0,48259,34753,236,0,1,0,4242,1,1.038,4088,1,14,64
1943,1,0,0,10,0,0,1,1,309,0,0.408,758,0,14,44
35044,1,0,823,54,0,0,1,0,155,0,0.059,2619,0,12,72
7704,0,0,2195,25,0,1,1,1,3585,0,0.899,3987,0,11,151
23166,1,0,64,630,104,1,1,1,25659,0,6.322,4059,1,13,155
525,0,0,0,738,677,0,1,1,2771910,0,1062.034,2610,0,9,21
352,0,0,5831,1563,1912,1,1,1,41857,0,9.377,4464,1,5,105
36126,0,0,1705,249568,918,1,1,1,13206,1,3.339,3955,1,8,7
13189,1,0,1885,178,482,0,1,1,2777,0,0.954,2911,0,13,95
22695,0,0,23,79632,633,0,1,1,25010,0,6.411,3901,1,13,65
12045,0,0,3206,14721,1322,1,1,1,14387,1,4.055,3548,1,11,160
34464,0,0,101,383,1686,1,1,1,270,0,0.087,3118,0,11,124
23301,1,0,72,30,0,0,1,1,148,0,0.05,2957,0,15,41
25425,0,0,1438,233,563,0,1,1,1470,0,0.61,2409,1,9,123
21442,1,0,2191,0,144,0,1,1,2197,0,0.764,2875,0,15,38
25837,0,0,16282,70057,53340,0,1,1,38456,0,11.517,3339,0,7,26
15021,0,0,336,954405,1497,0,1,0,103441,1,22.605,4576,0,8,45
24740,1,0,746,35,0,0,1,0,50,0,0.016,3158,0,8,69
30660,0,0,10016,456,816,1,1,0,3307,0,1.879,1760,1,12,72
9640,0,0,1179,1451835,851,1,1,0,27105,0,6.688,4053,1,15,121
33576,0,0,2385,10,19,0,1,0,3694,0,1.201,3076,0,11,94
13704,0,0,38,102129,98997,0,1,0,156370,0,48.638,3215,0,9,143
22356,1,0,6069,1345,397,1,1,1,58301,0,25.054,2327,1,6,148
32836,0,0,53909,5552,1631,1,1,1,19441,1,4.544,4278,1,6,139
14306,0,0,30487,15047046,349,1,1,1,57511,1,16.806,3422,1,8,142
19329,1,0,1393,2012,2513,1,1,1,7697,0,1.665,4624,1,6,127
29616,0,0,8882,19502,403,1,1,1,25136,0,7.252,3466,1,13,76
23771,1,0,393,16,0,0,1,0,96,0,0.023,4111,0,10,64
870,0,0,75,448,382,1,1,1,462,0,0.124,3723,0,13,108
9094,0,0,21878,6515,3014,0,1,1,22810,1,5.445,4189,1,6,120
8736,1,0,1440,86,1310,0,1,1,2030,0,0.63,3224,0,11,34
27866,0,0,2338,256451,289,0,1,1,6284,0,1.821,3450,1,12,67
24347,1,0,2193,0,101,0,1,1,2202,0,0.766,2875,0,15,32
33973,0,0,592,10165,540,0,1,1,3955,0,1.125,3514,1,15,123
17715,1,0,4901,364,546,0,1,1,12344,0,3.592,3437,1,10,90
12091,0,0,251,38593,15811,1,1,1,57623,0,18.504,3114,0,11,103
21153,1,0,9659,231,1162,1,1,0,2124,0,0.543,3913,1,9,8
5780,1,0,415,19,0,0,1,0,87,0,0.035,2488,0,9,55
3411,0,0,38,7618284,14,0,1,0,799,1,0.349,2290,1,9,100
21327,1,0,359,10,12,0,1,1,767,0,0.435,1762,0,14,75
2623,0,0,108,35,28,0,1,1,307,0,0.169,1818,0,15,21
2680,0,0,16862,2416,678,1,1,1,18591,0,13.356,1392,1,12,146
403,0,0,2064,54364,226,1,1,0,8429,1,2.005,4205,1,13,107
14327,1,0,11240,599325,1122,1,1,1,51834,1,15.042,3446,1,14,92
23977,1,0,1398,24,10,0,1,1,2092,0,0.616,3398,0,13,23
35985,0,0,5867,3577485,901,1,1,1,13713,1,3.539,3875,1,10,40
6062,1,0,3480,373,464,0,1,1,99404,0,23.826,4172,1,12,61
8920,1,0,15,15,78,1,1,1,44,0,0.015,2842,1,14,100
16160,0,0,311,3078,2655,1,1,1,60501,0,12.322,4910,1,12,113
8151,1,0,651,1078876,42,0,1,1,171659,0,41.594,4127,0,8,82
34888,0,0,1516,27,0,0,1,1,2068,0,0.696,2972,0,12,43
2896,0,0,21,1340980,468,1,1,1,12125,0,2.92,4153,1,11,79
19541,0,0,43397,236,706,1,1,0,11207,0,3.295,3401,1,14,160
28539,0,0,73331,1031136,89987,1,1,1,13114,1,4.657,2816,0,12,77
9802,0,0,1668,29341,1111,1,1,0,5816,1,1.727,3368,1,9,80
13852,0,0,564,258,119,0,1,1,7503,0,4.091,1834,1,15,57
10719,1,0,0,464,1,0,1,1,20012,0,16.649,1202,0,11,69
18129,0,0,1295,13806467,1,1,1,1,202744,1,51.879,3908,0,9,54
5270,1,0,128,2,0,0,1,0,26,0,0.013,2027,0,11,57
26511,0,0,50,191,113,0,1,1,3725,0,1.057,3525,1,11,96
36789,0,0,3490,416,806,1,1,0,3102,0,1.009,3074,1,10,109
16711,1,0,872,69,95,1,1,1,620,0,0.751,826,1,15,147
14241,1,0,762,21,0,0,1,0,153,0,0.043,3541,0,6,43
12856,1,0,582,117,0,0,1,1,538,0,0.177,3038,1,14,102
15309,0,0,132875,80114,806,0,1,1,33405,1,10.881,3070,1,9,152
34654,1,0,37448,15116,984,1,1,1,47847,0,11.656,4105,1,10,106
18479,1,0,1016,24,60,0,1,1,1429,0,0.438,3264,0,12,18
17350,0,0,19,3169,1,1,1,1,745,0,0.386,1932,0,8,106
27915,0,0,1640,496,0,1,1,0,10193,0,2.897,3519,0,13,7
15133,1,0,170,2,0,0,1,0,31,0,0.019,1672,0,9,59
16982,0,0,5357,735328,1124,0,1,1,23208,1,5.481,4234,1,9,148
7146,0,0,3451,343276,324,1,1,1,50752,1,12.745,3982,1,14,45
23236,1,0,302,8,0,0,1,0,61,0,0.034,1803,0,8,53
24806,1,0,3507,22,50,0,1,1,3699,0,2.113,1751,0,8,43
20540,0,0,4571,61639,1507,1,1,1,105432,1,23.929,4406,1,14,158
12094,0,0,2433,1446,173,0,1,1,6822,0,1.683,4054,0,14,151
4832,0,0,932,22,268,1,1,1,1234,0,0.417,2956,1,10,42
8167,0,0,40216,2940,2197,1,1,1,44192,1,10.585,4175,1,12,128
8730,0,0,3346,1252,504,1,1,1,1455,0,0.419,3470,0,14,122
25492,0,0,11997,604,699,1,1,1,27549,0,6.578,4188,1,12,60
34524,0,0,1469,463,928,0,1,1,1551,0,0.687,2258,1,15,141
30123,0,0,3022,444,451,1,1,0,3758,0,1.135,3312,1,15,116
28092,0,0,2483,223,462,0,1,1,5451,0,1.554,3507,0,13,97
31821,0,0,678,426,328,0,1,0,10938,0,2.982,3668,1,9,86
15747,0,0,1008,1460457,1256,1,1,0,12916,1,3.392,3808,1,15,144
16858,0,0,84051,1272,1279,1,1,1,50612,0,15.117,3348,1,13,151
10186,1,0,1733,21,48,0,1,1,3091,0,1.765,1751,0,15,53
33744,0,0,2101,95,0,1,1,0,4562,0,1.198,3807,0,10,70
19592,0,0,1702,7,0,0,1,1,2397,0,0.601,3990,0,14,59
21172,1,0,0,10,0,0,1,1,65284,0,92.079,709,0,12,56
21763,0,0,15,1051,0,0,1,0,16631,0,9.375,1774,0,12,61
35026,0,0,8842,616,605,1,1,1,9568,0,2.393,3998,1,8,90
1279,0,0,114,1665871,50,0,1,1,1880,1,0.531,3539,1,13,46
12981,0,0,155129,109394,12115,1,1,1,137781,0,33.216,4148,1,12,158
33725,0,0,2396,15,0,0,1,1,3407,0,0.944,3610,0,9,120
21910,0,0,203490,429,557,0,1,1,99822,0,24.383,4094,1,14,151
37104,0,0,4999,2758,4005,0,1,1,3979,0,2.287,1740,1,13,73
30355,0,0,0,28830,1,0,1,0,95,0,0.074,1278,0,5,147
31893,1,0,0,25,1,0,1,0,1368,0,0.788,1736,0,13,55
11376,0,0,413,4576114,90851,1,1,1,65764,1,14.98,4390,1,10,91
32280,0,0,7169,224301,1740,0,1,1,7321,1,1.664,4400,1,11,90
27177,0,0,56212,267,328,1,1,1,8870,0,2.179,4071,1,14,57
28703,1,0,1533,38,157,1,1,1,220,0,0.169,1301,1,9,87
22780,1,0,4547,405,770,0,1,1,1962,0,0.473,4148,1,6,141
4136,1,0,26,24,0,0,1,1,168,0,0.132,1271,0,13,76
3078,1,0,10,0,0,0,1,1,129,0,0.105,1233,0,15,120
2975,0,0,10127,16449,2131,0,1,1,41347,1,9.745,4243,1,12,158
8442,0,0,31272,92247,1268,0,1,1,15751,1,4.657,3382,1,12,47
36147,0,0,63834,196490,523,1,1,1,27942,1,9.818,2846,0,9,146
12120,0,0,135,664,928,1,1,1,3605,0,0.895,4030,0,15,105
8623,1,0,92989,6657,6584,0,1,1,130644,0,55.95,2335,0,11,99
8820,1,0,145,0,0,0,1,0,8,0,0.003,2443,0,7,35
24970,0,0,4195,1511,3262,1,1,1,68785,0,16.507,4167,1,7,157
17021,0,0,189,915,908,0,1,1,698,0,0.276,2530,0,14,144
17317,0,0,117960,282273,12748,1,1,1,216876,1,52.121,4161,1,14,159
18920,1,0,2408,19,0,0,1,1,3305,0,1.059,3121,0,9,17
6300,0,0,2210,84,108,0,1,1,3129,0,0.804,3891,0,14,78
14179,0,0,71,172649,462,0,1,0,9614,0,2.773,3467,1,13,106
31172,0,0,754,423908,711,1,1,1,4958,1,1.443,3436,1,9,23
2105,0,0,1933,2,0,0,1,1,2623,0,0.822,3191,0,12,80
2350,0,0,13566,246,676,0,1,0,9715,0,4.467,2175,1,9,43
9313,0,0,3199,595,467,0,1,1,994,0,0.392,2538,1,13,128
11875,0,0,864,802,270,1,1,1,10871,0,3.505,3102,1,14,145
3750,1,0,47,22,15,0,1,1,385,0,0.303,1272,0,11,83
